event_id,home_team,away_team,commence_time,bookmaker,bookmaker_title,market,outcome,description,point,price_american,implied_prob,no_vig_prob
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Over,Tim Hardaway Jr,2.5,-132,0.568966,0.532258
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Under,Tim Hardaway Jr,2.5,100,0.5,0.467742
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Over,Aaron Gordon,1.5,110,0.47619,0.445168
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Under,Aaron Gordon,1.5,-146,0.593496,0.554832
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Over,Jaylen Brown,1.5,-200,0.666667,0.623116
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Under,Jaylen Brown,1.5,148,0.403226,0.376884
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Over,Anfernee Simons,2.5,104,0.490196,0.458115
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Under,Anfernee Simons,2.5,-138,0.579832,0.541885
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Over,Peyton Watson,1.5,140,0.416667,0.38961
36b52127c8a50addc14237a1102c9dcc,Boston Celtics,Denver Nuggets,2026-01-08T00:10:00Z,fanduel,FanDuel,player_threes,Under,Peyton Watson,1.5,-188,0.652778,0.61039
